Marca_Temporal,Especialidad,Genero,Edad,Grado,Frecuencia_Uso_Dispositivos,Redes_Sociales_Diario,Tiempo_Redes_Sociales,Conocimiento_Huella_Carbono,Impacto_Uso_Dispositivos,Apagar_Dispositivos,Enviar_Correos_Pesados,Imprimir_Grandes_Documentos,Comprimir_Archivos,Reducir_Redes_Sociales,Impacto_CO2_Stickers_Gifs,Reducir_Stickers_Gifs,Aprendizaje_Sostenibilidad_TIC,Acciones_Reducir_Huella,Compartir_Conocimiento_Sostenibilidad
16/11/2023 19:55:24,Biología y Geología,Femenino,Entre 25 y 27,Grado en Bioquímica,Constantemente,Constantemente,Entre 2 horas y 3 horas,Sí,"No, no lo había considerado.",La mayoría de las veces.,Nunca.,La mayoría de las veces.,Nunca.,No estoy seguro/a.,"Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
16/11/2023 19:55:27,Geografía e Historia,Masculino,Entre 22 y 24,Grado en Geografía e Historia,Constantemente,Constantemente,Más de 3 horas,Sí,"Sí, ocasionalmente lo considero.",La mayoría de las veces.,Ocasionalmente.,Ocasionalmente.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
16/11/2023 19:55:42,Tecnología,Masculino,Entre 28 y 30,Ingeniería mécnaica,Constantemente,Constantemente,Menos de 1 hora,Sí,"Sí, ocasionalmente lo considero.",La mayoría de las veces.,Nunca.,Ocasionalmente.,Nunca.,"No, prefiero no hacerlo.","Sí, me sorprende.","No, prefiero seguir usándolos.","No, prefiero no hacerlo.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
16/11/2023 19:56:09,Educación Física,Masculino,Entre 22 y 24,Ciencias de la Actividad Física y del Deporte,Constantemente,Constantemente,Más de 3 horas,Sí,"No, no lo había considerado.",Nunca los apago.,La mayoría de las veces.,La mayoría de las veces.,Siempre.,"Sí, pero me resulta difícil.","Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
16/11/2023 19:56:10,Tecnología,Femenino,Mas de 31,Arquitectura,Constantemente,Algunas horas al día,Entre 1 hora y 2 horas,Sí,"Sí, ocasionalmente lo considero.",La mayoría de las veces.,Ocasionalmente.,Siempre.,Siempre.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
16/11/2023 19:56:18,Otra,Femenino,Entre 22 y 24,Grado en Traducción e Interpretación,Constantemente,Algunas horas al día,Entre 2 horas y 3 horas,No,Lo desconocía.,La mayoría de las veces.,La mayoría de las veces.,La mayoría de las veces.,Siempre.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
16/11/2023 19:57:04,Tecnología,Masculino,Mas de 31,INGENIERO TÉCNICO INDUSTRIAL,Constantemente,Constantemente,Menos de 1 hora,Sí,"No, no lo había considerado.",Siempre apago mis dispositivos.,Nunca.,Siempre.,Nunca.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
16/11/2023 19:57:49,Otra,Otros,Mas de 31,Ingeniería,Ocasionalmente,Nunca,Menos de 1 hora,Sí,"Sí, a menudo pienso en ello.",Siempre apago mis dispositivos.,Siempre.,Siempre.,Siempre.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
16/11/2023 19:57:51,Dibujo,Masculino,Mas de 31,Grado en Bellas Artes,Algunas horas al día,Ocasionalmente,Entre 1 hora y 2 horas,Sí,"Sí, a menudo pienso en ello.",Siempre apago mis dispositivos.,Siempre.,Siempre.,Siempre.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
27/11/2023 8:13:15,Geografía e Historia,Femenino,Entre 28 y 30,Grado en Historia,Constantemente,Algunas horas al día,Entre 1 hora y 2 horas,Sí,"No, no lo había considerado.",Siempre apago mis dispositivos.,Nunca.,Ocasionalmente.,Nunca.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
20/12/2023 17:46:35,Dibujo,Femenino,Entre 28 y 30,Conservacion y restauracion de bienes culturales,Constantemente,Constantemente,Entre 2 horas y 3 horas,Sí,"Sí, a menudo pienso en ello.",Ocasionalmente.,Ocasionalmente.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
20/12/2023 18:52:42,Matemáticas,Masculino,Entre 22 y 24,Grado en Matemáticas,Constantemente,Algunas horas al día,Entre 1 hora y 2 horas,No,"No, no lo había considerado.",Ocasionalmente.,Nunca.,La mayoría de las veces.,Nunca.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
20/12/2023 19:15:56,Otra,Femenino,Entre 25 y 27,Estudios Ingleses ,Constantemente,Ocasionalmente,Menos de 1 hora,Sí,"Sí, a menudo pienso en ello.",La mayoría de las veces.,Ocasionalmente.,Nunca.,Ocasionalmente.,No estoy seguro/a.,"Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
27/12/2023 22:26:30,Geografía e Historia,Masculino,Mas de 31,Grado en Historia y Patrimonio,Constantemente,Constantemente,Más de 3 horas,Sí,"No, no lo había considerado.",Nunca los apago.,La mayoría de las veces.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
