site_id,longitude,latitude,mean_power,distancia_m,profundidad_m,optimo
4053017,-14.083,28.667,31.41603525,7463.475780237406,-334.0,1
1813100006,2.634441833,39.56193028,3.985344539,331.95050746343287,-8.0,0
2100132,1.333,41.0,5.119601231,17879.16393409655,-134.0,0
4026016,-16.333,28.583,32.70942294,2308.584172471418,-44.0,0
4008014,-17.833,28.417,17.72521791,4859.878083757591,-916.0,1
5032015,-6.833,36.5,14.73064987,52353.28676555719,-367.0,0
5004001,-9.167,35.333,46.44305791,232284.17231043777,-3375.0,0
4004030,-18.167,29.75,39.27879462,117671.52495108504,-4510.0,0
1813100004,2.636074486,39.56337833,4.406238353,474.7847985074377,-5.0,0
3142037,-3.583,43.542,38.22009126,3667.4611018133305,-79.0,0
3153034,-3.125,43.417,29.22341748,8633.681463891924,-67.0,0
121035012,-5.689,43.589,23.83039542,1279.2498905883294,-29.0,0
1050082,-7.5,45.5,72.13620137,267847.75783648144,-4867.0,0
3186033,-1.75,43.4167,26.31438182,4161.587082642828,-41.0,0
2042079,-3.5,36.583,7.00089666,15886.930706028146,-648.0,0
1040064,-10.0,41.0,59.90757079,145338.3337415275,-3651.0,0
4061021,-13.417,29.0,18.19983786,6204.248160421184,-1188.0,1
2081115,-0.25,39.583,3.827329262,2651.925071535373,-15.0,0
2100106,1.333,38.833,5.760948744,3588.0160977690507,-76.0,0
2088118,0.333,39.833,6.345575676,39950.71433993336,-87.0,0
2096106,1.0,38.833,8.610606577,25239.735329860512,-423.0,0
6064012,-5.433,35.95,10.64194133,4445.847060357609,-773.0,1
1040020,-10.0,30.0,36.04117153,27584.47324540661,-129.0,0
1525100041,-1.8967,36.96271,3.806446026,592.2116050441375,-15.0,0
4034012,-15.667,28.25,29.66057585,10583.98093631586,-1706.0,1
2088100,0.333,38.333,9.033951252,50848.22718282696,-313.0,0
3000012,-9.5,42.5,60.92018194,49930.24825205699,-1504.0,0
4025016,-16.417,28.583,33.29927551,7351.749030441547,-1105.0,1
3100040,-5.333,43.667,37.68718772,18470.21275890228,-145.0,0
1064088,-4.0,47.0,56.83368302,99473.8205285482,-121.0,0
2113136,2.417,41.333,6.531011353,23317.543654186426,-74.0,0
4038004,-15.333,27.583,18.06960704,29392.28233379156,-2181.0,0
2146159,5.167,43.25,6.001691617,12084.7389582516,-86.0,0
5034005,-6.667,35.667,24.10179366,74307.87132993736,-633.0,0
2062078,-1.833,36.5,11.797525,46082.37997810963,-1399.0,0
4056015,-13.833,28.5,5.915174697,1704.3366125001503,-54.0,0
1034036,-11.5,34.0,46.07419404,313213.2807433312,-4470.0,0
1038120,-10.5,55.0,98.49239378,144788.12359091768,-1726.0,0
1054090,-6.5,47.5,71.7932332,216614.61699523847,-205.0,0
2144116,5.0,39.667,17.64076538,79285.17609166406,-2725.0,0
1014014,-16.5,28.5,29.36410466,6796.097741444919,-1145.0,1
3144040,-3.5,43.667,43.81198529,23848.49512494087,-2079.0,1
1813100021,2.636553223,39.54893814,3.758756074,1469.4967851090707,-15.0,0
4012014,-17.5,28.417,25.90567726,33958.70322781765,-2681.0,0
