,Especialidad,Genero,Edad,Grado,Frecuencia_Uso_Dispositivos,Redes_Sociales_Diario,Tiempo_Redes_Sociales,Conocimiento_Huella_Carbono,Impacto_Uso_Dispositivos,Apagar_Dispositivos,Enviar_Correos_Pesados,Imprimir_Grandes_Documentos,Comprimir_Archivos,Reducir_Redes_Sociales,Impacto_CO2_Stickers_Gifs,Reducir_Stickers_Gifs,Aprendizaje_Sostenibilidad_TIC,Acciones_Reducir_Huella,Compartir_Conocimiento_Sostenibilidad,Conciencia_Ambiental
53,filología hispánica,masculino,entre 25 y 27,grado en filología hispánica,constantemente,constantemente,más de 3 horas,no,"sí, ocasionalmente lo considero.",nunca los apago.,la mayoría de las veces.,ocasionalmente.,ocasionalmente.,no estoy seguro/a.,"sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
54,tecnología,masculino,mas de 31,grado en ingeniería de telecomunicaciones,constantemente,algunas horas al día,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
55,matemáticas,masculino,entre 25 y 27,grado en física,constantemente,constantemente,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,ocasionalmente.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
56,filología hispánica,femenino,entre 22 y 24,grado en humanidades,constantemente,constantemente,entre 2 horas y 3 horas,sí,"no, no lo había considerado.",nunca los apago.,la mayoría de las veces.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
57,filología hispánica,femenino,entre 22 y 24,grado en periodismo,constantemente,constantemente,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
58,biología y geología,masculino,entre 25 y 27,grado en química,constantemente,algunas horas al día,más de 3 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,ocasionalmente.,nunca.,nunca.,"no, prefiero no hacerlo.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
59,matemáticas,masculino,entre 22 y 24,grado en matemáticas,constantemente,constantemente,entre 2 horas y 3 horas,sí,"no, no lo había considerado.",la mayoría de las veces.,ocasionalmente.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
60,filología hispánica,femenino,entre 25 y 27,grado en filología hispánica,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"no, no lo había considerado.",siempre apago mis dispositivos.,nunca.,ocasionalmente.,ocasionalmente.,"no, prefiero no hacerlo.","no, ya conocía esta información.","no, prefiero seguir usándolos.","no, prefiero no hacerlo.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"no, prefiero no hacerlo.",0
61,filología hispánica,femenino,entre 22 y 24,grado en filología hispánica,algunas horas al día,algunas horas al día,menos de 1 hora,sí,lo desconocía.,nunca los apago.,nunca.,la mayoría de las veces.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",subir menos contenido a las redes sociales.,"sí, definitivamente.",0
62,economía,masculino,mas de 31,licenciatura en administración y dirección de empresas,algunas horas al día,ocasionalmente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,ocasionalmente.,la mayoría de las veces.,nunca.,no estoy seguro/a.,"sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",1
63,geografía e historia,masculino,entre 25 y 27,grado en geografía e historia,constantemente,algunas horas al día,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
64,filología hispánica,femenino,entre 22 y 24,grado en filología hispánica,constantemente,algunas horas al día,entre 2 horas y 3 horas,no,"no, no lo había considerado.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
65,biología y geología,femenino,entre 25 y 27,grado en farmacia,constantemente,algunas horas al día,entre 2 horas y 3 horas,no,"no, no lo había considerado.",ocasionalmente.,nunca.,la mayoría de las veces.,ocasionalmente.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
66,economía,femenino,mas de 31,grado en ciencias políticas y de la administración,algunas horas al día,algunas horas al día,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",subir menos contenido a las redes sociales.,"no, prefiero no hacerlo.",0
67,economía,masculino,mas de 31,grado en administración y dirección de empresas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, a menudo pienso en ello.",nunca los apago.,siempre.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
68,educación física,masculino,entre 22 y 24,grado en ciencias de la actividad física y el deporte,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,ocasionalmente.,no estoy seguro/a.,"sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",subir menos contenido a las redes sociales.,"no, prefiero no hacerlo.",0
